lesson,source_section,item_no,japanese,kana,word_type,chinese_meaning,usage_note,source_locator
L35,ことば,1,咲きます,さきます,動詞Ⅰ,花開,搭配：花が咲きます,"L35, ことば, 1"
L35,ことば,2,変わります,かわります,動詞Ⅰ,變色；改變,搭配：色が変わります,"L35, ことば, 2"
L35,ことば,3,困ります,こまります,動詞Ⅰ,麻煩；為難,,"L35, ことば, 3"
L35,ことば,4,付けます,つけます,動詞Ⅱ,加上；畫圈,搭配：丸を付けます,"L35, ことば, 4"
L35,ことば,5,拾います,ひろいます,動詞Ⅰ,拾；撿,,"L35, ことば, 5"
L35,ことば,6,かかります,かかります,動詞Ⅰ,打／掛電話,搭配：電話がかかります,"L35, ことば, 6"
L35,ことば,7,楽,らく,な形容詞,輕鬆的；容易的,原文為 楽［な］；［な］未作為單詞抽出,"L35, ことば, 7"
L35,ことば,8,正しい,ただしい,い形容詞,正確,,"L35, ことば, 8"
L35,ことば,9,珍しい,めずらしい,い形容詞,少見；不尋常；珍奇,,"L35, ことば, 9"
L35,ことば,10,方,かた,名詞,位；「人」的尊敬語,,"L35, ことば, 10"
L35,ことば,11,向こう,むこう,名詞,對面,,"L35, ことば, 11"
L35,ことば,12,島,しま,名詞,島,,"L35, ことば, 12"
L35,ことば,13,村,むら,名詞,村；村莊,,"L35, ことば, 13"
L35,ことば,14,港,みなと,名詞,港口,,"L35, ことば, 14"
L35,ことば,15,近所,きんじょ,名詞,附近；鄰近地區,,"L35, ことば, 15"
L35,ことば,16,屋上,おくじょう,名詞,屋頂,,"L35, ことば, 16"
L35,ことば,17,海外,かいがい,名詞,海外；國外,,"L35, ことば, 17"
L35,ことば,18,山登り,やまのぼり,名詞,爬山；登山,,"L35, ことば, 18"
L35,ことば,19,ハイキング,,名詞,郊遊,,"L35, ことば, 19"
L35,ことば,20,機会,きかい,名詞,機會,,"L35, ことば, 20"
L35,ことば,21,許可,きょか,名詞,許可,,"L35, ことば, 21"
L35,ことば,22,丸,まる,名詞,圓圈,,"L35, ことば, 22"
L35,ことば,23,操作,そうさ,名詞,操作,,"L35, ことば, 23"
L35,ことば,24,方法,ほうほう,名詞,方法,,"L35, ことば, 24"
L35,ことば,25,設備,せつび,名詞,設備,,"L35, ことば, 25"
L35,ことば,26,カーテン,,名詞,窗簾,,"L35, ことば, 26"
L35,ことば,27,ひも,ひも,名詞,繩子；繩索,,"L35, ことば, 27"
L35,ことば,28,ふた,ふた,名詞,蓋；蓋子,,"L35, ことば, 28"
L35,ことば,29,葉,は,名詞,葉子,,"L35, ことば, 29"
L35,ことば,30,曲,きょく,名詞,樂曲,,"L35, ことば, 30"
L35,ことば,31,楽しみ,たのしみ,名詞,快樂；愉快；樂趣,,"L35, ことば, 31"
L35,ことば,32,もっと,もっと,副詞,更；更加,,"L35, ことば, 32"
L35,ことば,33,初めに,はじめに,副詞,最初；開始,,"L35, ことば, 33"
L35,ことば,34,これで終わります,これでおわります,慣用表現,到此結束,,"L35, ことば, 34"
L35,ことば,35,箱根,はこね,地名,箱根；神奈川縣的旅遊勝地,,"L35, ことば, 35"
L35,ことば,36,日光,にっこう,地名,日光；栃木縣的旅遊勝地,,"L35, ことば, 36"
L35,ことば,37,白馬,はくば,地名,白馬；長野縣的旅遊勝地,,"L35, ことば, 37"
L35,ことば,38,アフリカ,,地名,非洲,,"L35, ことば, 38"
L35,会話語彙,,それなら,,接續表現,那樣的話；如果是那樣,,"L35, 会話語彙, p.2"
L35,会話語彙,,夜行バス,やこうバス,名詞,夜班公共汽車,,"L35, 会話語彙, p.2"
L35,会話語彙,,旅行社,りょこうしゃ,名詞,旅行社,,"L35, 会話語彙, p.2"
L35,会話語彙,,詳しい,くわしい,い形容詞,詳細的,,"L35, 会話語彙, p.2"
L35,会話語彙,,スキー場,スキーじょう,名詞,滑雪場,,"L35, 会話語彙, p.2"
L35,会話語彙,,草津,くさつ,地名,草津；群馬縣的旅遊勝地,,"L35, 会話語彙, p.2"
L35,会話語彙,,志賀高原,しがこうげん,地名,志賀高原；長野縣的國家公園,,"L35, 会話語彙, p.2"
L35,読み物語彙,,交わります,まじわります,動詞Ⅰ,打交道；來往,,"L35, 読み物語彙, p.2"
L35,読み物語彙,,ことわざ,,名詞,諺語,,"L35, 読み物語彙, p.2"
L35,読み物語彙,,仲よくします,なかよくします,動詞Ⅲ,友好交往,,"L35, 読み物語彙, p.2"
L35,読み物語彙,,必要,ひつよう,な形容詞,必要的；必需的,原文為 必要［な］；［な］未作為單詞抽出,"L35, 読み物語彙, p.2"
