lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L35,文型,,1,2,G1,条件形,なります,ます形,春に（なります→＿＿）、桜が咲きます。,なれば,春になれば、桜が咲きます。,,"L35, 文型, 1"
L35,文型,,2,2,G1,条件形,いいです,い形容詞,天気が（いいです→＿＿）、向こうに島が見えます。,よければ,天気がよければ、向こうに島が見えます。,いい→よい／よければ,"L35, 文型, 2"
L35,文型,,3,2,G3,なら,北海道旅行,名詞,（北海道旅行→＿＿）、6月がいいです。,北海道旅行なら,北海道旅行なら、6月がいいです。,,"L35, 文型, 3"
L35,文型,,4,2,G5,条件形＋原形＋ほど,短いです,い形容詞,結婚式のスピーチは（短いです→＿＿／＿＿）ほどいいです。,短ければ｜短い,結婚式のスピーチは短ければ短いほどいいです。,,"L35, 文型, 4"
L35,例文,,1,3,G1,条件形,押します,ます形,そのボタンを（押します→＿＿）、開きますよ。,押せば,そのボタンを押せば、開きますよ。,,"L35, 例文, 1"
L35,例文,,2,3,G2,否定条件形,あります,ます形／否定,ほかに意見が（あります→＿＿）、これで終わりましょう。,なければ,ほかに意見がなければ、これで終わりましょう。,存在の否定：ありません→なければ,"L35, 例文, 2"
L35,例文,,3,3,G1,条件形,安いです,い形容詞,物価が（安いです→＿＿）、もっといいと思います。,安ければ,物価が安ければ、もっといいと思います。,,"L35, 例文, 3"
L35,例文,,4-a,3,G2,否定条件形,出します,ます形,あしたまでにレポートを（出します→＿＿）なりませんか。,出さなければ,あしたまでにレポートを出さなければなりませんか。,,"L35, 例文, 4-a"
L35,例文,,4-b,3,G3,なら,無理,な形容詞,（無理→＿＿）、金曜日までに出してください。,無理なら,無理なら、金曜日までに出してください。,,"L35, 例文, 4-b"
L35,例文,,5,3,G3,なら,2、3日,名詞,（2、3日→＿＿）、箱根か日光がいいと思います。,2、3日なら,2、3日なら、箱根か日光がいいと思います。,,"L35, 例文, 5"
L35,例文,,6,3,G4,ばいいですか,します,ます形,本を借りたいんですが、どう（します→＿＿）いいですか。,すれば,本を借りたいんですが、どうすればいいですか。,,"L35, 例文, 6"
L35,例文,,7,3,G5,条件形＋辞書形＋ほど,取ります,ます形,年を（取ります→＿＿／＿＿）ほど元気になりますね。,取れば｜取る,年を取れば取るほど元気になりますね。,,"L35, 例文, 7"
L35,会話,,タイトル,3,G1,条件形,行きます,ます形,旅行社へ（行きます→＿＿）、わかります。,行けば,旅行社へ行けば、わかります。,,"L35, 会話, タイトル"
L35,会話,,1,3,G3,なら,夜行バス,名詞,JRでも行けますが、（夜行バス→＿＿）、朝着きますから、便利ですよ。,夜行バスなら,JRでも行けますが、夜行バスなら、朝着きますから、便利ですよ。,,"L35, 会話, 1"
L35,会話,,2,3,G1,条件形,行きます,ます形,旅行社へ（行きます→＿＿）もっと詳しいことがわかります。,行けば,旅行社へ行けばもっと詳しいことがわかります。,,"L35, 会話, 2"
L35,会話,,3,4,G3,なら,心配,な形容詞,（心配→＿＿）、旅行社で予約もできるし……。,心配なら,心配なら、旅行社で予約もできるし……。,,"L35, 会話, 3"
L35,練習A,1,1-1,4,G1,条件形,聞きます,ます形,（聞きます→＿＿）,聞けば,聞けば,練習A-1 変換表,"L35, 練習A 1, 1-1"
L35,練習A,1,1-2,4,G1,条件形,急ぎます,ます形,（急ぎます→＿＿）,急げば,急げば,練習A-1 変換表,"L35, 練習A 1, 1-2"
L35,練習A,1,1-3,4,G1,条件形,飲みます,ます形,（飲みます→＿＿）,飲めば,飲めば,練習A-1 変換表,"L35, 練習A 1, 1-3"
L35,練習A,1,1-4,4,G1,条件形,呼びます,ます形,（呼びます→＿＿）,呼べば,呼べば,練習A-1 変換表,"L35, 練習A 1, 1-4"
L35,練習A,1,1-5,4,G1,条件形,降ります,ます形,（降ります→＿＿）,降れば,降れば,練習A-1 変換表,"L35, 練習A 1, 1-5"
L35,練習A,1,1-6,4,G1,条件形,思います,ます形,（思います→＿＿）,思えば,思えば,練習A-1 変換表,"L35, 練習A 1, 1-6"
L35,練習A,1,1-7,4,G1,条件形,待ちます,ます形,（待ちます→＿＿）,待てば,待てば,練習A-1 変換表,"L35, 練習A 1, 1-7"
L35,練習A,1,1-8,4,G1,条件形,出します,ます形,（出します→＿＿）,出せば,出せば,練習A-1 変換表,"L35, 練習A 1, 1-8"
L35,練習A,1,1-9,4,G1,条件形,晴れます,ます形,（晴れます→＿＿）,晴れれば,晴れれば,練習A-1 変換表,"L35, 練習A 1, 1-9"
L35,練習A,1,1-10,4,G1,条件形,降ります,ます形,（降ります→＿＿）,降りれば,降りれば,練習A-1 変換表,"L35, 練習A 1, 1-10"
L35,練習A,1,1-11,4,G1,条件形,来ます,ます形,（来ます→＿＿）,来れば,来れば,練習A-1 変換表,"L35, 練習A 1, 1-11"
L35,練習A,1,1-12,4,G1,条件形,します,ます形,（します→＿＿）,すれば,すれば,練習A-1 変換表,"L35, 練習A 1, 1-12"
L35,練習A,1,1-13,4,G1,条件形,高いです,い形容詞,（高いです→＿＿）,高ければ,高ければ,練習A-1 変換表,"L35, 練習A 1, 1-13"
L35,練習A,1,1-14,4,G1,条件形,正しいです,い形容詞,（正しいです→＿＿）,正しければ,正しければ,練習A-1 変換表,"L35, 練習A 1, 1-14"
L35,練習A,1,1-15,4,G3,なら,きれい,な形容詞,（きれい→＿＿）,きれいなら,きれいなら,練習A-1 変換表,"L35, 練習A 1, 1-15"
L35,練習A,1,1-16,4,G3,なら,まじめ,な形容詞,（まじめ→＿＿）,まじめなら,まじめなら,練習A-1 変換表,"L35, 練習A 1, 1-16"
L35,練習A,1,1-17,4,G3,なら,雨,名詞,（雨→＿＿）,雨なら,雨なら,練習A-1 変換表,"L35, 練習A 1, 1-17"
L35,練習A,1,1-18,4,G3,なら,無料,名詞,（無料→＿＿）,無料なら,無料なら,練習A-1 変換表,"L35, 練習A 1, 1-18"
L35,練習A,2,1,4,G1,条件形,読みます,ます形,説明書を（読みます→＿＿）、使い方がわかります。,読めば,説明書を読めば、使い方がわかります。,,"L35, 練習A 2, 1"
L35,練習A,2,2,4,G1,条件形,聞きます,ます形,山田さんに（聞きます→＿＿）、……。,聞けば,山田さんに聞けば、……。,,"L35, 練習A 2, 2"
L35,練習A,2,3,4,G1,条件形,見ます,ます形,図を（見ます→＿＿）、……。,見れば,図を見れば、……。,,"L35, 練習A 2, 3"
L35,練習A,3,1,4,G2,否定条件形,あります,ます形／否定,ボールペンが（あります→＿＿）、鉛筆で書いてもいいです。,なければ,ボールペンがなければ、鉛筆で書いてもいいです。,,"L35, 練習A 3, 1"
L35,練習A,3,2,4,G2,否定条件形,起きます,ます形,6時に（起きます→＿＿）、会社に遅れます。,起きなければ,6時に起きなければ、会社に遅れます。,,"L35, 練習A 3, 2"
L35,練習A,3,3,4,G2,否定条件形,相談します,ます形,部長に（相談します→＿＿）、決められません。,相談しなければ,部長に相談しなければ、決められません。,,"L35, 練習A 3, 3"
L35,練習A,4,1,4,G1,条件形,忙しいです,い形容詞,きょう（忙しいです→＿＿）、あした来てください。,忙しければ,きょう忙しければ、あした来てください。,,"L35, 練習A 4, 1"
L35,練習A,4,2,4,G1,条件形,いいです,い形容詞,体の調子が（いいです→＿＿）、……。,よければ,体の調子がよければ、……。,いい→よい／よければ,"L35, 練習A 4, 2"
L35,練習A,4,3,4,G1,条件形,悪いです,い形容詞,きょう都合が（悪いです→＿＿）、……。,悪ければ,きょう都合が悪ければ、……。,,"L35, 練習A 4, 3"
L35,練習A,5,1,4,G3,なら,暇,な形容詞,土曜日（暇→＿＿）、海に行きませんか。,暇なら,土曜日暇なら、海に行きませんか。,,"L35, 練習A 5, 1"
L35,練習A,5,2,4,G3,なら,いい天気,名詞句,（いい天気→＿＿）、……。,いい天気なら,いい天気なら、……。,,"L35, 練習A 5, 2"
L35,練習A,5,3,4,G3,なら,休み,名詞,（休み→＿＿）、……。,休みなら,休みなら、……。,,"L35, 練習A 5, 3"
