lesson,source_section,item_no,japanese,kana,word_type,chinese_meaning,usage_note,source_locator
L37,ことば,1,褒めます,ほめます,動詞Ⅱ,讚美,,"L37, ことば, 1"
L37,ことば,2,しかります,しかります,動詞Ⅰ,責罵,,"L37, ことば, 2"
L37,ことば,3,誘います,さそいます,動詞Ⅰ,邀請,,"L37, ことば, 3"
L37,ことば,4,起こします,おこします,動詞Ⅰ,叫醒,,"L37, ことば, 4"
L37,ことば,5,招待します,しょうたいします,動詞Ⅲ,招待,,"L37, ことば, 5"
L37,ことば,6,頼みます,たのみます,動詞Ⅰ,請求；要求；拜託,,"L37, ことば, 6"
L37,ことば,7,注意します,ちゅういします,動詞Ⅲ,提醒；警告,,"L37, ことば, 7"
L37,ことば,8,とります,とります,動詞Ⅰ,搶；偷,,"L37, ことば, 8"
L37,ことば,9,踏みます,ふみます,動詞Ⅰ,踩（腳）,,"L37, ことば, 9"
L37,ことば,10,壊します,こわします,動詞Ⅰ,弄壞；弄碎,,"L37, ことば, 10"
L37,ことば,11,汚します,よごします,動詞Ⅰ,弄髒,,"L37, ことば, 11"
L37,ことば,12,行います,おこないます,動詞Ⅰ,舉行,,"L37, ことば, 12"
L37,ことば,13,輸出します,ゆしゅつします,動詞Ⅲ,出口,,"L37, ことば, 13"
L37,ことば,14,輸入します,ゆにゅうします,動詞Ⅲ,進口,,"L37, ことば, 14"
L37,ことば,15,翻訳します,ほんやくします,動詞Ⅲ,翻譯,,"L37, ことば, 15"
L37,ことば,16,発明します,はつめいします,動詞Ⅲ,發明,,"L37, ことば, 16"
L37,ことば,17,発見します,はっけんします,動詞Ⅲ,發現,,"L37, ことば, 17"
L37,ことば,18,設計します,せっけいします,動詞Ⅲ,設計,,"L37, ことば, 18"
L37,ことば,19,米,こめ,名詞,稻米,,"L37, ことば, 19"
L37,ことば,20,麦,むぎ,名詞,麥子,,"L37, ことば, 20"
L37,ことば,21,石油,せきゆ,名詞,石油,,"L37, ことば, 21"
L37,ことば,22,原料,げんりょう,名詞,原料,,"L37, ことば, 22"
L37,ことば,23,デート,デート,名詞,約會,,"L37, ことば, 23"
