lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L37,文型,,1,3,G2,直接受身,しかります,ます形,子どものとき、よく母に（しかります→＿＿）。,しかられました,子どものとき、よく母にしかられました。,,"L37, 文型, 1"
L37,文型,,2,3,G3,所有物受身,踏みます,ます形,ラッシュの電車で足を（踏みます→＿＿）。,踏まれました,ラッシュの電車で足を踏まれました。,,"L37, 文型, 2"
L37,文型,,3,3,G4,事物受身,建てます,ます形,法隆寺は608年に（建てます→＿＿）。,建てられました,法隆寺は608年に建てられました。,,"L37, 文型, 3"
L37,例文,,1,3,G2,直接受身,呼びます,ます形,けさ部長に（呼びます→＿＿）。,呼ばれました,けさ部長に呼ばれました。,,"L37, 例文, 1"
L37,例文,,1-b,3,G4,事物受身,注意します,ます形,出張のレポートの書き方について（注意します→＿＿）。,注意されました,出張のレポートの書き方について注意されました。,,"L37, 例文, 1-b"
L37,例文,,2,3,G3,所有物受身,まちがえます,ます形,だれかに傘を（まちがえます→＿＿）んです。,まちがえられた,だれかに傘をまちがえられたんです。,,"L37, 例文, 2"
L37,例文,,3,3,G4,事物受身,発見します,ます形,また新しい星が（発見します→＿＿）よ。,発見されました,また新しい星が発見されましたよ。,,"L37, 例文, 3"
L37,例文,,4,3,G4,事物受身,開きます,ます形,ことしの世界子ども会議はどこで（開きます→＿＿）か。…広島で（開きます→＿＿）。,開かれます｜開かれます,ことしの世界子ども会議はどこで開かれますか。…広島で開かれます。,,"L37, 例文, 4"
L37,例文,,5,3,G4,事物受身,造ります,ます形,ビールは麦から（造ります→＿＿）。,造られます,ビールは麦から造られます。,,"L37, 例文, 5"
L37,例文,,6,3,G4,事物受身,使います,ます形,ドミニカでは何語が（使います→＿＿）か。…スペイン語が（使います→＿＿）います。,使われて｜使われて,ドミニカでは何語が使われていますか。…スペイン語が使われています。,,"L37, 例文, 6"
L37,例文,,7,3,G5,によって受身,発明します,ます形,飛行機はライト兄弟によって（発明します→＿＿）。,発明されました,飛行機はライト兄弟によって発明されました。,,"L37, 例文, 7"
L37,会話,,タイトル,3,G4,事物受身,造ります,ます形,海を埋め立てて（造ります→＿＿）。,造られました,海を埋め立てて造られました。,,"L37, 会話, タイトル"
L37,会話,,1,3,G4,事物受身,造ります,ます形,ここは海を埋め立てて（造ります→＿＿）島なんです。,造られた,ここは海を埋め立てて造られた島なんです。,,"L37, 会話, 1"
L37,会話,,2,4,G5,によって受身,設計します,ます形,イタリア人の建築家によって（設計します→＿＿）んです。,設計された,イタリア人の建築家によって設計されたんです。,,"L37, 会話, 2"
L37,練習A,1,1-1,4,G1,受身動詞,書きます,ます形,（書きます→＿＿）,書かれます,書かれます,練習A-1 受身変換表,"L37, 練習A 1, 1-1"
L37,練習A,1,1-2,4,G1,受身動詞,踏みます,ます形,（踏みます→＿＿）,踏まれます,踏まれます,練習A-1 受身変換表,"L37, 練習A 1, 1-2"
L37,練習A,1,1-3,4,G1,受身動詞,呼びます,ます形,（呼びます→＿＿）,呼ばれます,呼ばれます,練習A-1 受身変換表,"L37, 練習A 1, 1-3"
L37,練習A,1,1-4,4,G1,受身動詞,とります,ます形,（とります→＿＿）,とられます,とられます,練習A-1 受身変換表,"L37, 練習A 1, 1-4"
L37,練習A,1,1-5,4,G1,受身動詞,言います,ます形,（言います→＿＿）,言われます,言われます,練習A-1 受身変換表,"L37, 練習A 1, 1-5"
L37,練習A,1,1-6,4,G1,受身動詞,待ちます,ます形,（待ちます→＿＿）,待たれます,待たれます,練習A-1 受身変換表,"L37, 練習A 1, 1-6"
L37,練習A,1,1-7,4,G1,受身動詞,押します,ます形,（押します→＿＿）,押されます,押されます,練習A-1 受身変換表,"L37, 練習A 1, 1-7"
L37,練習A,1,1-8,4,G1,受身動詞,褒めます,ます形,（褒めます→＿＿）,褒められます,褒められます,練習A-1 受身変換表,"L37, 練習A 1, 1-8"
L37,練習A,1,1-9,4,G1,受身動詞,調べます,ます形,（調べます→＿＿）,調べられます,調べられます,練習A-1 受身変換表,"L37, 練習A 1, 1-9"
L37,練習A,1,1-10,4,G1,受身動詞,見ます,ます形,（見ます→＿＿）,見られます,見られます,練習A-1 受身変換表,"L37, 練習A 1, 1-10"
L37,練習A,1,1-11,4,G1,受身動詞,来ます,ます形,（来ます→＿＿）,来られます,来られます,練習A-1 受身変換表,"L37, 練習A 1, 1-11"
L37,練習A,1,1-12,4,G1,受身動詞,します,ます形,（します→＿＿）,されます,されます,練習A-1 受身変換表,"L37, 練習A 1, 1-12"
L37,練習A,2,2-1,4,G2,直接受身,褒めます,ます形,わたしは部長に（褒めます→＿＿）。,褒められました,わたしは部長に褒められました。,,"L37, 練習A 2, 2-1"
L37,練習A,2,2-2,4,G2,直接受身,頼みます,ます形,仕事を（頼みます→＿＿）。,頼まれました,仕事を頼まれました。,,"L37, 練習A 2, 2-2"
L37,練習A,3,3-1,4,G3,所有物受身,踏みます,ます形,わたしはだれかに足を（踏みます→＿＿）。,踏まれました,わたしはだれかに足を踏まれました。,,"L37, 練習A 3, 3-1"
L37,練習A,3,3-2,4,G3,所有物受身,捨てます,ます形,わたしは母に漫画の本を（捨てます→＿＿）。,捨てられました,わたしは母に漫画の本を捨てられました。,,"L37, 練習A 3, 3-2"
L37,練習A,4,4-1,4,G4,事物受身,開きます,ます形,大阪で展覧会が（開きます→＿＿）。,開かれます,大阪で展覧会が開かれます。,,"L37, 練習A 4, 4-1"
L37,練習A,4,4-2,4,G4,事物受身,行います,ます形,国際会議が（行います→＿＿）。,行われます,国際会議が行われます。,,"L37, 練習A 4, 4-2"
L37,練習A,5,5-1,4,G4,事物受身,壊します,ます形,この美術館は来月（壊します→＿＿）。,壊されます,この美術館は来月壊されます。,,"L37, 練習A 5, 5-1"
L37,練習A,5,5-2,4,G4,事物受身,建てます,ます形,200年まえに（建てます→＿＿）。,建てられました,200年まえに建てられました。,,"L37, 練習A 5, 5-2"
L37,練習A,6,6-1,4,G4,事物受身,輸出します,ます形,日本の車はいろいろな国へ（輸出します→＿＿）います。,輸出されて,日本の車はいろいろな国へ輸出されています。,,"L37, 練習A 6, 6-1"
L37,練習A,7,7-1,4,G4,事物受身,組み立てます,ます形,洗濯機はこの工場で（組み立てます→＿＿）います。,組み立てられて,洗濯機はこの工場で組み立てられています。,,"L37, 練習A 7, 7-1"
L37,練習A,7,7-2,4,G5,によって受身,書きます,ます形,「源氏物語」は紫式部によって（書きます→＿＿）。,書かれました,「源氏物語」は紫式部によって書かれました。,,"L37, 練習A 7, 7-2"
L37,練習A,7,7-3,4,G5,によって受身,発明します,ます形,電話はグラハム・ベルによって（発明します→＿＿）。,発明されました,電話はグラハム・ベルによって発明されました。,,"L37, 練習A 7, 7-3"
L37,練習B,1,例,4,G2,直接受身,褒めます,ます形,先生はわたしを褒めました→わたしは先生に（褒めます→＿＿）。,褒められました,わたしは先生に褒められました。,,"L37, 練習B 1, 例"
L37,練習B,1,1,4,G2,直接受身,しかります,ます形,兄はわたしをしかりました→わたしは兄に（しかります→＿＿）。,しかられました,わたしは兄にしかられました。,,"L37, 練習B 1, 1"
L37,練習B,1,2,4,G2,直接受身,起こします,ます形,父は毎朝早くわたしを起こします→わたしは毎朝早く父に（起こします→＿＿）。,起こされます,わたしは毎朝早く父に起こされます。,,"L37, 練習B 1, 2"
L37,練習B,1,3,5,G2,直接受身,呼びます,ます形,課長はわたしを呼びました→わたしは課長に（呼びます→＿＿）。,呼ばれました,わたしは課長に呼ばれました。,,"L37, 練習B 1, 3"
L37,練習B,1,4,5,G2,直接受身,招待します,ます形,ミラーさんはわたしをパーティーに招待しました→わたしはミラーさんにパーティーに（招待します→＿＿）。,招待されました,わたしはミラーさんにパーティーに招待されました。,,"L37, 練習B 1, 4"
L37,練習B,2,例,5,G3,所有物受身,聞きます,ます形,警官はわたしに名前と住所を聞きました→わたしは警官に名前と住所を（聞きます→＿＿）。,聞かれました,わたしは警官に名前と住所を聞かれました。,,"L37, 練習B 2, 例"
