lesson,source_section,item_no,japanese,kana,word_type,chinese_meaning,usage_note,source_locator
L34,ことば,1,磨きます,みがきます,動詞Ⅰ,刷牙,搭配：歯を磨きます,"L34, ことば, 1"
L34,ことば,2,組み立てます,くみたてます,動詞Ⅱ,組裝,,"L34, ことば, 2"
L34,ことば,3,折ります,おります,動詞Ⅰ,折斷；折彎,,"L34, ことば, 3"
L34,ことば,4,気がつきます,きがつきます,動詞Ⅰ,注意；發覺,搭配：忘れ物に気がつきます,"L34, ことば, 4"
L34,ことば,5,つけます,つけます,動詞Ⅱ,蘸上,搭配：しょうゆをつけます,"L34, ことば, 5"
L34,ことば,6,見つかります,みつかります,動詞Ⅰ,找到,搭配：かぎが見つかります,"L34, ことば, 6"
L34,ことば,7,します,します,動詞Ⅲ,打（領帶）,搭配：ネクタイをします,"L34, ことば, 7"
L34,ことば,8,質問します,しつもんします,動詞Ⅲ,提問,,"L34, ことば, 8"
L34,ことば,9,細い,ほそい,い形容詞,瘦；細,,"L34, ことば, 9"
L34,ことば,10,太い,ふとい,い形容詞,胖；粗,,"L34, ことば, 10"
L34,ことば,11,盆踊り,ぼんおどり,名詞,盂蘭盆節舞,,"L34, ことば, 11"
L34,ことば,12,スポーツクラブ,スポーツクラブ,名詞,體育俱樂部；運動俱樂部,,"L34, ことば, 12"
L34,ことば,13,家具,かぐ,名詞,家具,,"L34, ことば, 13"
L34,ことば,14,キー,キー,名詞,鑰匙,,"L34, ことば, 14"
L34,ことば,15,シートベルト,シートベルト,名詞,安全帶,,"L34, ことば, 15"
L34,ことば,16,説明書,せつめいしょ,名詞,說明書,,"L34, ことば, 16"
L34,ことば,17,図,ず,名詞,圖,,"L34, ことば, 17"
L34,ことば,18,線,せん,名詞,線,,"L34, ことば, 18"
L34,ことば,19,矢印,やじるし,名詞,箭頭,,"L34, ことば, 19"
L34,ことば,20,黒,くろ,名詞,黑,,"L34, ことば, 20"
L34,ことば,21,白,しろ,名詞,白,,"L34, ことば, 21"
L34,ことば,22,赤,あか,名詞,紅,,"L34, ことば, 22"
L34,ことば,23,青,あお,名詞,青；藍,,"L34, ことば, 23"
L34,ことば,24,紺,こん,名詞,深藍,,"L34, ことば, 24"
L34,ことば,25,黄色,きいろ,名詞,黃色,,"L34, ことば, 25"
L34,ことば,26,茶色,ちゃいろ,名詞,棕色,,"L34, ことば, 26"
L34,ことば,27,しょうゆ,しょうゆ,名詞,醬油,,"L34, ことば, 27"
L34,ことば,28,ソース,ソース,名詞,醬汁,,"L34, ことば, 28"
L34,ことば,29,～か～,～か～,助詞,～或者～,,"L34, ことば, 29"
L34,ことば,30,ゆうべ,ゆうべ,名詞,昨晚,,"L34, ことば, 30"
L34,ことば,31,さっき,さっき,副詞,剛才,,"L34, ことば, 31"
L34,会話語彙,,茶道,さどう,名詞,茶道,,"L34, 会話語彙, p.2"
L34,会話語彙,,お茶をたてます,おちゃをたてます,動詞Ⅱ,泡茶；沏茶,,"L34, 会話語彙, p.2"
L34,会話語彙,,先に,さきに,副詞,首先；先（表示行動的順序）,,"L34, 会話語彙, p.2"
L34,会話語彙,,載せます,のせます,動詞Ⅱ,放上,,"L34, 会話語彙, p.2"
L34,会話語彙,,これでいいですか。,これでいいですか。,慣用表現,這樣可以嗎？,,"L34, 会話語彙, p.2"
L34,会話語彙,,苦い,にがい,い形容詞,苦的,,"L34, 会話語彙, p.2"
L34,読み物語彙,,親子どんぶり,おやこどんぶり,名詞,雞肉雞蛋蓋飯,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,材料,ざいりょう,名詞,材料,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,…分,…ぶん,接尾辭,…分；…份,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,…グラム,…グラム,接尾辭,…公克,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,…個,…こ,接尾辭,…個（計算小件物品的量詞）,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,たまねぎ,たまねぎ,名詞,洋蔥,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,4分の1,よんぶんのいち,名詞,四分之一,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,調味料,ちょうみりょう,名詞,調味料,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,なべ,なべ,名詞,鍋,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,火にかけます,ひにかけます,動詞Ⅱ,加熱,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,煮ます,にます,動詞Ⅱ,煮,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,煮えます,にえます,動詞Ⅱ,煮熟,,"L34, 読み物語彙, p.2"
L34,読み物語彙,,どんぶり,どんぶり,名詞,蓋飯；丼,,"L34, 読み物語彙, p.2"
