lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L36,文型,,1,2,G1,目的のように,泳げます,可能動詞ます形,速く（泳げます→＿＿）ように、毎日練習しています。,泳げる,速く泳げるように、毎日練習しています。,,"L36, 文型, 1"
L36,文型,,2,2,G2,可能ようになります,乗れます,可能動詞ます形,やっと自転車に（乗れます→＿＿）ようになりました。,乗れる,やっと自転車に乗れるようになりました。,,"L36, 文型, 2"
L36,文型,,3,2,G4,習慣ようにしています,書きます,ます形,毎日日記を（書きます→＿＿）ようにしています。,書く,毎日日記を書くようにしています。,,"L36, 文型, 3"
L36,例文,,1,3,G1,目的のように,調べられます,可能動詞ます形,知らないことばを聞いたら、すぐ（調べられます→＿＿）ように、持っているんです。,調べられる,知らないことばを聞いたら、すぐ調べられるように、持っているんです。,,"L36, 例文, 1"
L36,例文,,2,3,G1,目的のように,忘れます,ます形／ない,ごみの日です。（忘れます→＿＿）ように、つけてあるんです。,忘れない,ごみの日です。忘れないように、つけてあるんです。,,"L36, 例文, 2"
L36,例文,,3,3,G2,可能ようになります,寝られます,可能動詞ます形,初めはなかなか寝られませんでしたが、今はよく（寝られます→＿＿）ようになりました。,寝られる,初めはなかなか寝られませんでしたが、今はよく寝られるようになりました。,,"L36, 例文, 3"
L36,例文,,4,3,G2,可能ようになります,弾けます,可能動詞ます形,早く（弾けます→＿＿）ようになりたいです。,弾ける,早く弾けるようになりたいです。,,"L36, 例文, 4"
L36,例文,,5,3,G3,否定なくなります,泳げます,可能動詞ます形,工場ができてから、この近くの海では（泳げます→＿＿）なりました。,泳げなく,工場ができてから、この近くの海では泳げなくなりました。,,"L36, 例文, 5"
L36,例文,,6,3,G4,習慣ようにしています,食べます,ます形／ない,できるだけ（食べます→＿＿）ようにしているんです。,食べない,できるだけ食べないようにしているんです。,,"L36, 例文, 6"
L36,例文,,7,3,G5,依頼ようにしてください,遅れます,ます形／ない,絶対に（遅れます→＿＿）ようにしてください。,遅れない,絶対に遅れないようにしてください。,,"L36, 例文, 7"
L36,会話,,タイトル,3,G4,習慣ようにしています,使います,ます形,頭と体を（使います→＿＿）ようにしています。,使う,頭と体を使うようにしています。,,"L36, 会話, タイトル"
L36,会話,,1,3,G4,習慣ようにしています,食べます,ます形,毎日運動して、何でも（食べます→＿＿）ようにしています。,食べる,毎日運動して、何でも食べるようにしています。,,"L36, 会話, 1"
L36,会話,,2,3,G2,可能ようになります,踊れます,可能動詞ます形,最近タンゴが（踊れます→＿＿）ようになりました。,踊れる,最近タンゴが踊れるようになりました。,,"L36, 会話, 2"
L36,会話,,3,4,G4,習慣ようにしています,作ります,ます形,毎日違う料理を（作ります→＿＿）ようにしています。,作る,毎日違う料理を作るようにしています。,,"L36, 会話, 3"
L36,練習A,1,1-1,4,G1,目的のように,届きます,ます形,早く（届きます→＿＿）ように、速達で出します。,届く,早く届くように、速達で出します。,,"L36, 練習A 1, 1-1"
