lesson,source_section,item_no,japanese,kana,word_type,chinese_meaning,usage_note,source_locator
L38,ことば,1,育てます,そだてます,動詞Ⅱ,養育；撫育；撫養,,"L38, ことば, 1"
L38,ことば,2,運びます,はこびます,動詞Ⅰ,運送,,"L38, ことば, 2"
L38,ことば,3,亡くなります,なくなります,動詞Ⅰ,去世（死にます第39課的鄭重說法）,,"L38, ことば, 3"
L38,ことば,4,入院します,にゅういんします,動詞Ⅲ,住院,,"L38, ことば, 4"
L38,ことば,5,退院します,たいいんします,動詞Ⅲ,出院,,"L38, ことば, 5"
L38,ことば,6,入れます,いれます,動詞Ⅱ,打開電源,搭配：電源を入れます,"L38, ことば, 6"
L38,ことば,7,切ります,きります,動詞Ⅰ,切斷電源,搭配：電源を切ります,"L38, ことば, 7"
L38,ことば,8,掛けます,かけます,動詞Ⅱ,鎖上鎖,搭配：かぎを掛けます,"L38, ことば, 8"
L38,ことば,9,気持ちがいい,きもちがいい,慣用表現,心情好；舒服,,"L38, ことば, 9"
L38,ことば,10,気持ちが悪い,きもちがわるい,慣用表現,心情不好；不舒服,,"L38, ことば, 10"
L38,ことば,11,大きな～,おおきな～,連体詞,大的～,,"L38, ことば, 11"
L38,ことば,12,小さな～,ちいさな～,連体詞,小的～,,"L38, ことば, 12"
L38,ことば,13,赤ちゃん,あかちゃん,名詞,嬰兒,,"L38, ことば, 13"
L38,ことば,14,小学校,しょうがっこう,名詞,小學,,"L38, ことば, 14"
L38,ことば,15,中学校,ちゅうがっこう,名詞,中學,,"L38, ことば, 15"
L38,ことば,16,駅前,えきまえ,名詞,車站前,,"L38, ことば, 16"
L38,ことば,17,海岸,かいがん,名詞,海岸,,"L38, ことば, 17"
L38,ことば,18,うそ,うそ,名詞,撒謊；謊言,,"L38, ことば, 18"
L38,ことば,19,書類,しょるい,名詞,文件,,"L38, ことば, 19"
L38,ことば,20,電源,でんげん,名詞,電源,,"L38, ことば, 20"
L38,ことば,21,～製,～せい,接尾辭,～製,,"L38, ことば, 21"
L38,ことば,22,［あ、］いけない。,［あ、］いけない。,慣用表現,噢，糟了！（用於當人做錯了某事）,,"L38, ことば, 22"
L38,ことば,23,お先に［失礼します］。,おさきに［しつれいします］。,慣用表現,我先走了；我先走一步,,"L38, ことば, 23"
L38,ことば,24,原爆ドーム,げんばくドーム,地名,廣島原子彈爆炸紀念館,,"L38, ことば, 24"
L38,会話語彙,,回覧,かいらん,名詞,通知；回覽,,"L38, 会話語彙, p.2"
L38,会話語彙,,研究室,けんきゅうしつ,名詞,研究室,,"L38, 会話語彙, p.2"
L38,会話語彙,,きちんと,きちんと,副詞,整潔地；整齊地；很好地,,"L38, 会話語彙, p.2"
L38,会話語彙,,整理します,せいりします,動詞Ⅲ,整理；收拾,,"L38, 会話語彙, p.2"
L38,会話語彙,,～という本,～というほん,慣用表現,…叫…的書,,"L38, 会話語彙, p.2"
L38,会話語彙,,…冊,…さつ,接尾辭,…本（書的量詞）,,"L38, 会話語彙, p.2"
L38,会話語彙,,はんこ,はんこ,名詞,印章,,"L38, 会話語彙, p.2"
L38,会話語彙,,押します,おします,動詞Ⅰ,蓋章,搭配：はんこを押します,"L38, 会話語彙, p.2"
L38,読み物語彙,,双子,ふたご,名詞,孿生子；雙胞胎,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,姉妹,しまい,名詞,姊妹,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,5年生,5ねんせい,名詞,五年級學生,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,似ています,にています,動詞Ⅱ,像；相似,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,性格,せいかく,名詞,性格,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,おとなしい,おとなしい,い形容詞,文靜；老實；安靜,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,世話をします,せわをします,動詞Ⅲ,照顧,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,時間がたちます,じかんがたちます,動詞Ⅰ,時間流逝,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,大好き,だいすき,な形容詞,很喜歡的,原文為 大好き［な］；［な］未作為單詞抽出,"L38, 読み物語彙, p.2"
L38,読み物語彙,,…点,…てん,接尾辭,…分（成績）,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,クラス,クラス,名詞,班；班級,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,けんかします,けんかします,動詞Ⅲ,吵架；打架,,"L38, 読み物語彙, p.2"
L38,読み物語彙,,不思議,ふしぎ,な形容詞,不可思議的,原文為 不思議［な］；［な］未作為單詞抽出,"L38, 読み物語彙, p.2"
