lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L38,文型,,1,2,G2,のは～です,かきます,ます形,絵を（かきます→＿＿）のは楽しいです。,かく,絵をかくのは楽しいです。,,"L38, 文型, 1"
L38,文型,,2,2,G3,のが～です,見ます,ます形,わたしは星を（見ます→＿＿）のが好きです。,見る,わたしは星を見るのが好きです。,,"L38, 文型, 2"
L38,文型,,3,2,G4,のを忘れました,持って来ます,ます形,財布を（持って来ます→＿＿）のを忘れました。,持って来る,財布を持って来るのを忘れました。,,"L38, 文型, 3"
L38,文型,,4,2,G6,のは～です,来ます,ます形,わたしが日本へ（来ます→＿＿）のは去年の3月です。,来た,わたしが日本へ来たのは去年の3月です。,,"L38, 文型, 4"
L38,例文,,1,2,G2,のは～です,始めます,ます形,（始めます→＿＿）のは簡単ですが、（続けます→＿＿）のは難しいですね。,始める｜続ける,始めるのは簡単ですが、続けるのは難しいですね。,,"L38, 例文, 1"
L38,例文,,2,2,G3,のが～です,育てます,ます形,夫は花を（育てます→＿＿）のが上手なんです。,育てる,夫は花を育てるのが上手なんです。,,"L38, 例文, 2"
L38,例文,,3,3,G3,のが～です,歩きます,ます形,それにみんな（歩きます→＿＿）のが速いですね。,歩く,それにみんな歩くのが速いですね。,,"L38, 例文, 3"
L38,例文,,4,3,G4,のを忘れました,閉めます,ます形,車の窓を（閉めます→＿＿）のを忘れました。,閉める,車の窓を閉めるのを忘れました。,,"L38, 例文, 4"
L38,例文,,5,3,G5,のを知っていますか,生まれます,ます形,木村さんに赤ちゃんが（生まれます→＿＿）のを知っていますか。,生まれた,木村さんに赤ちゃんが生まれたのを知っていますか。,,"L38, 例文, 5"
L38,例文,,6,3,G6,のは～です,会います,ます形,彼女に初めて（会います→＿＿）のは小学校の教室です。,会った,彼女に初めて会ったのは小学校の教室です。,,"L38, 例文, 6"
L38,会話,,タイトル,3,G3,のが～です,片づけます,ます形,（片づけます→＿＿）のが好きなんです。,片づける,片づけるのが好きなんです。,,"L38, 会話, タイトル"
L38,会話,,1,3,G3,のが～です,片づけます,ます形,わたしは（片づけます→＿＿）のが好きなんです。,片づける,わたしは片づけるのが好きなんです。,,"L38, 会話, 1"
L38,会話,,2,3,G3,のが～です,整理します,ます形,（整理します→＿＿）のが上手なんですね。,整理する,整理するのが上手なんですね。,,"L38, 会話, 2"
L38,会話,,3,3,G4,のを忘れました,持って来ます,ます形,本を（持って来ます→＿＿）のを忘れました。,持って来る,本を持って来るのを忘れました。,,"L38, 会話, 3"
L38,会話,,4,3,G4,のを忘れました,押します,ます形,回覧にはんこを（押します→＿＿）のを忘れないでください。,押す,回覧にはんこを押すのを忘れないでください。,,"L38, 会話, 4"
L38,練習A,1,1-1,4,G2,のは～です,運びます,ます形,一人でこの荷物を（運びます→＿＿）のは無理です。,運ぶ,一人でこの荷物を運ぶのは無理です。,,"L38, 練習A 1, 1-1"
